"","date","Close","RR","atm1M","atm1W","RealizedVariance","RealizedVariance_Annualized","atm1W_annualized","atm1M_annualized"
"1236",2007-01-02,1.32734,0.457125558162419,0.079203,0.099841,NA,NA,0.7199636897872,0.274367240223756
"1237",2007-01-03,1.317,-0.779001612247052,0.078905,0.104619,NA,NA,0.754418337775534,0.273334937942445
"1238",2007-01-04,1.3087,-0.630220197418373,0.081967,0.122945,NA,NA,0.88656900312384,0.283942017087996
"1239",2007-01-05,1.30021,-0.648735386261167,0.066767,0.066408,NA,NA,0.478874898202025,0.231287672537902
"1241",2007-01-08,1.30366,0.243754277233975,0.064818,0.064981,0.338651706820029,85.3402301186473,0.468584654861851,0.224536138489999
"1242",2007-01-09,1.29929,-0.33521010079315,0.064252,0.064422,0.319332113969719,80.4716927203692,0.464553648535882,0.222575456975831
"1243",2007-01-10,1.29357,-0.440240439008993,0.063185,0.063549,0.236725740420784,59.6548865860376,0.458258356008922,0.218879260552479
"1244",2007-01-11,1.2892,-0.337824779486244,0.063791,0.064254,0.180115357300959,45.3890700398418,0.463342183307326,0.220978506131253
"1245",2007-01-12,1.29225,0.236580825318026,0.063065,0.063371,0.107137934405106,26.9987594700867,0.456974779754857,0.218463568358662
"1248",2007-01-16,1.29175,-0.103627744395218,0.065898,0.067007,0.0974024467528227,24.5454165817113,0.483194348630031,0.228277368234348
"1249",2007-01-17,1.29378,0.157151151538609,0.064421,0.064463,0.079868581304054,20.1268824886216,0.46484930374047,0.223160890148789
"1250",2007-01-18,1.296,0.171590223994814,0.061965,0.061929,0.046994893470406,11.8427131545423,0.446576369876419,0.214653056582011
"1251",2007-01-19,1.29495,-0.0810185185185182,0.059745,0.059077,0.0254825772120072,6.42160945742581,0.426010305401172,0.206962750996405
"1253",2007-01-22,1.29476,-0.095679012345689,0.060131,0.060831,0.0161193745110648,4.06208237678832,0.4386585792755,0.208299894219848
"1254",2007-01-23,1.3021,0.566900429423223,0.062816,0.064336,0.0782468520054237,19.7182067053668,0.463933493716502,0.217601007056493
"1255",2007-01-24,1.29619,-0.45388219030797,0.063061,0.063991,0.114509363655194,28.8563596411088,0.461445663336432,0.218449711952202
"1256",2007-01-25,1.29367,-0.194415942107242,0.063342,0.064291,0.116180234370165,29.2774190612815,0.463608994101711,0.219423124506056
